watchedVideoId,RelatedVideoId,next,homePage,timestamp,timeOfView,sessionSetup
,_zLyldqq9ws,1,1,1605285463.7642672,120,12
,62XWpQTEuak,0,1,1605285463.774577,120,12
,Xwb2oAG-Tmc,0,1,1605285463.784089,120,12
,1LHGC0XmLJQ,0,1,1605285463.793402,120,12
,SJoXcGV1Yho,0,1,1605285463.8026078,120,12
,HnduHcJYFdM,0,1,1605285463.811622,120,12
,cGoGnjjfUAg,0,1,1605285463.8200889,120,12
,Nke7uVphBw8,0,1,1605285463.8300629,120,12
,Nke7uVphBw8,0,1,1605285463.8388963,120,12
,KetT9XdG5uI,0,1,1605285463.8478017,120,12
,NCzeAhVHO8I,0,1,1605285463.8575346,120,12
,T1ad3nY6AoY,0,1,1605285463.8658757,120,12
,Vm6AWWY2sug,0,1,1605285463.8748183,120,12
,6GH6GxSDw7g,0,1,1605285463.8839326,120,12
,6GH6GxSDw7g,0,1,1605285463.8938684,120,12
,mR-ssdMC7yM,0,1,1605285463.9018474,120,12
,mMpbrBOtK2Q,0,1,1605285463.9114285,120,12
,zLo_UKrGqDM,0,1,1605285463.920214,120,12
,4lRZvefk9bE,0,1,1605285463.9287505,120,12
,PF2hUXYdZeI,0,1,1605285463.9367292,120,12
,cXvi2_0APR0,0,1,1605285463.9457073,120,12
,EDA6_uMh838,0,1,1605285463.9546819,120,12
,CD1LR0EIFWg,0,1,1605285463.9656508,120,12
,OZNgU1QOqQI,0,1,1605285463.9746268,120,12
,6o99QRYjXT4,0,1,1605285463.9825473,120,12
,H90GFYTpFqE,0,1,1605285463.9915235,120,12
,YeEW1oeLaVE,0,1,1605285463.9994085,120,12
,RUFOvqavYi0,0,1,1605285464.0084693,120,12
,scEgPdfi5vU,0,1,1605285464.0160277,120,12
,zadhwmL4OOk,0,1,1605285464.0250049,120,12
,k9DirYcmNjU,1,1,1605285579.085533,120,12
,QGIAq9izMWI,0,1,1605285579.0975003,120,12
,yqgNsbb7TKQ,0,1,1605285579.1076543,120,12
,8DsNPcjX44k,0,1,1605285579.11703,120,12
,CD1LR0EIFWg,0,1,1605285579.1260052,120,12
,vLDCo6t47X0,0,1,1605285579.135979,120,12
,KetT9XdG5uI,0,1,1605285579.1439612,120,12
,Nke7uVphBw8,0,1,1605285579.1529334,120,12
,Nke7uVphBw8,0,1,1605285579.1615818,120,12
,IwjrsHfjcJ0,0,1,1605285579.1705742,120,12
,A2bv0_qPSf8,0,1,1605285579.189507,120,12
,a-pwPE3o4e0,0,1,1605285579.1995032,120,12
,cGoGnjjfUAg,0,1,1605285579.20951,120,12
,6GH6GxSDw7g,0,1,1605285579.218481,120,12
,6GH6GxSDw7g,0,1,1605285579.2273684,120,12
,mR-ssdMC7yM,0,1,1605285579.2363443,120,12
,mMpbrBOtK2Q,0,1,1605285579.2442384,120,12
,zLo_UKrGqDM,0,1,1605285579.2522066,120,12
,4lRZvefk9bE,0,1,1605285579.2611892,120,12
,PF2hUXYdZeI,0,1,1605285579.269164,120,12
,cXvi2_0APR0,0,1,1605285579.27767,120,12
,EDA6_uMh838,0,1,1605285579.295551,120,12
,aBvHeIyX40g,0,1,1605285579.304004,120,12
,SJoXcGV1Yho,0,1,1605285579.3136115,120,12
,zadhwmL4OOk,0,1,1605285579.322591,120,12
,YeEW1oeLaVE,0,1,1605285579.3315094,120,12
,mcNnCv2LIIw,0,1,1605285579.3399146,120,12
,scEgPdfi5vU,0,1,1605285579.3489192,120,12
,CqvZ3vGoGs0,0,1,1605285579.3588548,120,12
,H90GFYTpFqE,0,1,1605285579.3668334,120,12
,zadhwmL4OOk,1,1,1605285700.8710845,120,12
,yxAPpzAeuX8,0,1,1605285700.893982,120,12
,scEgPdfi5vU,0,1,1605285700.904198,120,12
,MtyFwq08O90,0,1,1605285700.9161687,120,12
,1LHGC0XmLJQ,0,1,1605285700.9271393,120,12
,NwodOkov6K4,0,1,1605285700.9365141,120,12
,cGoGnjjfUAg,0,1,1605285700.9464486,120,12
,Nke7uVphBw8,0,1,1605285700.957424,120,12
,Nke7uVphBw8,0,1,1605285700.9714193,120,12
,KetT9XdG5uI,0,1,1605285700.9813552,120,12
,2CLxI10vXMs,0,1,1605285700.991359,120,12
,T1ad3nY6AoY,0,1,1605285701.0003054,120,12
,a-pwPE3o4e0,0,1,1605285701.0102787,120,12
,6GH6GxSDw7g,0,1,1605285701.0202513,120,12
,6GH6GxSDw7g,0,1,1605285701.0292275,120,12
,mR-ssdMC7yM,0,1,1605285701.039201,120,12
,mMpbrBOtK2Q,0,1,1605285701.0482094,120,12
,zLo_UKrGqDM,0,1,1605285701.0574086,120,12
,4lRZvefk9bE,0,1,1605285701.067382,120,12
,PF2hUXYdZeI,0,1,1605285701.075361,120,12
,cXvi2_0APR0,0,1,1605285701.0873463,120,12
,EDA6_uMh838,0,1,1605285701.0963042,120,12
,lCqbC4edRuM,0,1,1605285701.1072164,120,12
,H90GFYTpFqE,0,1,1605285701.1151931,120,12
,MoGuH3JbMPw&t=51s,0,1,1605285701.1261673,120,12
,MWyDvc-8d7E,0,1,1605285701.1358123,120,12
,fl4eo5zeKQI,0,1,1605285701.1449099,120,12
,SJoXcGV1Yho,0,1,1605285701.153483,120,12
,mcNnCv2LIIw,0,1,1605285701.1642022,120,12
,XHJyyZq0gRI,0,1,1605285701.173178,120,12
,Mtt9kGLORTw,1,1,1605286043.2216392,120,12
,HDgSsCGdZKo,0,1,1605286043.232287,120,12
,YqxJqxC5Mg0,0,1,1605286043.2442763,120,12
,IwjrsHfjcJ0,0,1,1605286043.256225,120,12
,T1ad3nY6AoY,0,1,1605286043.265794,120,12
,CD1LR0EIFWg,0,1,1605286043.2757685,120,12
,fl4eo5zeKQI,0,1,1605286043.286739,120,12
,Nke7uVphBw8,0,1,1605286043.295714,120,12
,Nke7uVphBw8,0,1,1605286043.3066847,120,12
,scEgPdfi5vU,0,1,1605286043.316658,120,12
,LO6OaR5PK_w,0,1,1605286043.3276293,120,12
,lCqbC4edRuM,0,1,1605286043.3373723,120,12
,K8s7-cc4c24,0,1,1605286043.3475711,120,12
,6GH6GxSDw7g,0,1,1605286043.358677,120,12
,6GH6GxSDw7g,0,1,1605286043.3706245,120,12
,mR-ssdMC7yM,0,1,1605286043.3782637,120,12
,mMpbrBOtK2Q,0,1,1605286043.3882413,120,12
,4lRZvefk9bE,0,1,1605286043.3982134,120,12
,kn0IbYr9jMI,0,1,1605286043.408224,120,12
,cXvi2_0APR0,0,1,1605286043.4165504,120,12
,czXaSBlARfA,0,1,1605286043.4255264,120,12
,zLncu9fuho8,0,1,1605286043.4345024,120,12
,d8WLXyX-jn4,0,1,1605286043.4442263,120,12
,2CLxI10vXMs,0,1,1605286043.4538116,120,12
,a-pwPE3o4e0,0,1,1605286043.4637878,120,12
,xVgoRIhXTjY,0,1,1605286043.473628,120,12
,YeEW1oeLaVE,0,1,1605286043.4836028,120,12
,I84FCXqA1Vk,0,1,1605286043.4935744,120,12
Mtt9kGLORTw,FXtcIk0d3GQ,1,0,1605286045.4154751,120,12
,JyZ236CyHzM,1,1,1605286232.0352218,120,12
,rW1hpqVU6qk,0,1,1605286232.0481653,120,12
,scEgPdfi5vU,0,1,1605286232.0591385,120,12
,NCzeAhVHO8I,0,1,1605286232.071107,120,12
,jefQnTWe8jc,0,1,1605286232.0810797,120,12
,KetT9XdG5uI,0,1,1605286232.0925975,120,12
,vLDCo6t47X0,0,1,1605286232.1025343,120,12
,Nke7uVphBw8,0,1,1605286232.1115074,120,12
,Nke7uVphBw8,0,1,1605286232.122477,120,12
,_rwXsgSwSMA,0,1,1605286232.1324515,120,12
,IwjrsHfjcJ0,0,1,1605286232.1434224,120,12
,Ns2u6DelDOo,0,1,1605286232.1523986,120,12
,czXaSBlARfA,0,1,1605286232.162371,120,12
,6GH6GxSDw7g,0,1,1605286232.1733663,120,12
,6GH6GxSDw7g,0,1,1605286232.183315,120,12
,mR-ssdMC7yM,0,1,1605286232.192291,120,12
